,,,,,
,Assignment,Status,Time,Start date,Date Finished
,,,,,
,"worked on orientation quiz, project proposal, and intake survey",Done,2hrs,8/31/2023,8/31/2023
,learned how to handle data in Python using Pandas,Done,3 hrs,9/1/2023,9/1/2023
,Worked on exercises to practice Pandas data frame,Done,2hrs,9/3/2023,9/5/2023
,watched videos on grouping data with pandas dataframe (was confused about it),Done,1.5 hrs,9/3/2023,9/3/2023
,Worked on exercises to practice Pandas data frame,Done,3.5 hrs,9/5/2023,9/5/2023
,Watched videos on plotting with pandas to prepare for next class,Done,2 hrs,9/6/2023,9/6/2023
,Learned with instructor about data exploration and visualizations,Done,3hrs,9/8/2023,9/8/2023
,reviewed lecture mainly the data cleaning part (i was confused),Done,1hr,9/8/2023,9/8/2023
,"read about the data visualization libraries to know their features ex: seaborn,numpy, and matplotlib",Done,3hrs,9/9/2023,9/9/2023
,worked on week 2 exercises that were about data visualization lecture,Done,5.5hrs,9/10/2023,9/10/2023
,worked on pre-class hw about machine learning,Done,2hrs,9/11/2023,9/11/2023
,Introduction to machine learning with logistic regression,Done,3hrs,9/15/2023,9/15/2023
,study session with TA with this weeks topic because it was hard,Done,1hr,9/15/2023,9/15/2023
,watched videos on logistic regression and understanding p-values ,Done,2hrs,9/16/2023,9/16/2023
,help session with TA because needed help with jupyter notebook,Done,30min,9/16/2023,9/16/2023
,worked on the hw exercises,Done,3.5hrs,9/17/2023,9/17/2023
,worked on project ideation slides which consisted of finding 3 interesting datasets as well as 1 project idea,Done,4hrs,9/20/2023,9/20/2023
,worked on the pre hw to prepare for upcoming class,Done,4.5hrs,9/21/2023,9/21/2023
,Learned about how AI will affect the world and went over every students project ideation slide,Done,3hrs,9/22/2023,9/22/2023
,reached out to peers to make a group of three based on similar interests,Done,1.5hrs,9/22/2023,9/22/2023
,Did a chatgpt prompt engineering course for hw,Done,4hrs,9/23/2023,9/23/2023
,started to discuss team name and ideas with group,Done,2hrs,9/27/2023,9/27/2023
,worked on group tracker for hw,Done,2.5hrs,9/28/2023,9/28/2023
,Building dashboards with Python lecture,Done,3hrs,9/29/2023,9/29/2023
,Meeting with TA on setting up a virtual environment,Done,30mins,9/29/2023,9/29/2023
,researching project ideas with group,Done,2hrs,9/30/2023,9/30/2023
,researched data sets for project ideas(with group),Done,3.5hrs,9/30/2023,9/30/2023
,found a temporary project idea and made design document about(with group),Done,2.5hrs,10/4/2023,10/4/2023
,worked  on a dashboard for our chosen dataset that included to charts that showed relationships between the data(with group),Done,5hrs,10/5/2023,10/5/2023
,Did preclass homework on regression analysis,Done,1.5hrs,10/5/2023,10/5/2023
,Learned about Regression with instructor,Done,3hrs,10/6/2023,10/6/2023
,Reviewed regression lecture to fully understand it,Done,1hr,10/6/2023,10/6/2023
,worked on regression hw,In progress,2.5hr,10/7/2023,10/7/2023
,worked on regression hw,Done,3hr,10/8/2023,10/8/2023
,Group meeting to finalize project idea,Done,1.5hrs,10/8/2023,10/8/2023
,Worked on the preclass hw,Done,3hrs,10/13/2023,10/13/2023
,Researches for a dataset for our project,Done,3.5hrs,10/15/2023,10/15/2023
,,,,,
,Worked on design documents,In progress,1hr,10/16/2023,10/16/2023
,Worked on design documents,Done,3hr,10/17/2023,10/17/2023
,Started working on the front end of the project,Done,3hrs,10/18/2023,10/18/2023
,Almost done with the front end of the project,Done,2hrs,10/19/2023,10/19/2023
,Learned about Decision Trees and Random Forest with instructor,Done,3hrs,10/20/2023,10/20/2023
,Reviewed the lecture from today bc it was tough,Done,1.5hr,10/20/2023,10/20/2023
,Had a group meeting about our front end,Done,3hrs,10/21/2023,10/21/2023
,Worked on the hw,Done,4.5hrs,10/22/2023,10/22/2023
,Did the preclass hw,Done,1hr,10/23/2023,10/23/2023
,Worked on the recommender system,In progress,3hr,10/25/2023,
,continued with group on recommender system,In progress,4.5hr,10/26/2023,
,Lecture on NLP,Done,3hr,10/27/2023,10/27/2023
,worked on hw/reviewed,In progress,3.5hr,10/27/2023,
,worked on hw/reviewed,Done,2hr,10/28/2023,10/28/2023
,meeting with methila about model training,Done,3hr,10/28/2023,10/28/2023
,worked on the pre hw,Done,2hr,10/30/2023,10/30/2023
,worked on researching for the app.py,Done,4.5hr,10/31/2023,10/31/2023
,Lecture on Neural Networks,Done,3hr,11/3/2023,11/3/2023
,group meeting about decoding a bug,In progress,3.5hr,11/3/2023,
,continued meeting with researching about bug,Done,2hr,11/4/2023,11/4/2023
,Worked on the slides,In progress,2hr,11/4/2023,
,finished working on slides,Done,3hr,11/5/2023,11/5/2023
,Did a course on hugging face on transformers,Done,4hrs,11/7/2023,11/7/2023
,Had a meeting about group member and task organization,Done,2hrs,11/9/2023,11/9/2023
,Lecture on Neural Networks- HuggingFace,Done,3hrs,11/10/2023,
,Had a meeting with group member on machine learning aspect of project,Done,2hrs,11/12/2023,11/12/2023
,Worked on the training of project,Done,3 hrs,11/13/2023,11/13/2023
,group meeting on the machine learning part of project,Done,3.5 hrs,11/15.2023,11/15/2023
,Meeting with instructors on our project,Done,3 hrs,11/17/2023,11/17/2023
,group meeting about adding new features,Done,2hrs,11/18/2023,11/18/2023
,researched new features,Done,2.5 hrs,11/20/2023,11/20/2023
,Worked on the layout of the front end (tried to make it look nice),Done,3 hrs,11/22/2023,11/22/2023
,Worked on gathering infor for the final slides,Done,1.5 hrs,11/24/2023,11/24/2023
,Worked on a course recommended by instructor,Done,2.5 hrs,11/26/2023,11/26/2023
,Had a group meeting about the new features we want to add,Done,3 hrs,11/28/2023,11/28/2023
,Worked on the final slides,Done,2.5 hrs,11/30/2023,11/30/2023
,Demo day practice at the CTP Class,Done,3hrs,12/1/2023,12/1/2023
,group meeting on working with the recommendation system,Done,3 hrs,12/3/2023,12/1/2023
